,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng
211,Bí Quyết Hội Họa - Vẽ Tranh Phong Cảnh,https://www.vinabook.com/images/thumbnails/product/240x/367180_p94187mimage237446.jpg,Âm nhạc,,"  Thông tin tác giả    Từ Hảo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Diêu Tùng Tùng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bạn đam mê hội họa và muốn bắt đầu học vẽ?Bạn gặp khó khăn trong việc tìm ra sách học phù hợp?Bạn bối rối không biết nên bắt đầu từ đâu?Bộ sách Bí Quyết Hội Họa sẽ là người bạn đồng hành tuyệt vời, giúp bạn có khởi đầu thuận lợi trên con đường học vẽ của mình. Bộ sách được thiết kế với từng cấp độ từ cơ bản đến nâng cao, mang đến cho bạn những kiến thức nền tảng cũng như định hướng để tiếp tục đào sâu đam mê.VẼ TRANH PHONG CẢNH trong bộ sách này sẽ giúp bạn tiếp cận với những kiến thức cơ bản về màu sắc và các kỹ thuật vẽ màu. Thông qua những bài tập đơn giản với hướng dẫn cụ thể, dễ hiểu bạn sẽ nắm được những quy luật cơ bản khi vẽ phong cảnh, từ đó sáng tạo ra những bức tranh phong cảnh độc đáo của riêng mình. ",85.000,,,,,,,,,,,,, 400.00 gam , 27 x 19 cm , 8935074124890 , 22/06/2021 , Tiếng Việt ," Mai Đỗ , Thu Hường ", Văn Lang , Nxb Thanh Hóa , 56 ," Từ Hảo , Diêu Tùng Tùng ", Bìa mềm 
212,45 Ngày Biết Đệm Đàn Guitar,https://www.vinabook.com/images/thumbnails/product/240x/366302_p93809mimage231204.jpg,Âm nhạc,,  Thông tin tác giả    Song Minh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Gồm 45 bài học được biên soạn theo trình độ từ dễ đến khó với phương pháp diễn giải tỉ mỉ và khoa học. ,98.000,,,,,,,,,,,,, 500.00 gam , 29.5 x 20.5 cm , 8935095630615 , 2021 , Tiếng Việt ,, Huy Hoàng , NXB Dân Trí , 187 , Song Minh , Bìa cứng 
213,1000 Hợp Âm Cho Đàn Guitare (2020),https://www.vinabook.com/images/thumbnails/product/240x/364233_p92961m1000hopamchodanguitaretb2019xp011592791265jp1597117169.jpg,Âm nhạc,,"  Thông tin tác giả    Patrick Moulou      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hợp âm guitare là tập hợp những nốt nhạc được sắp xếp theo một trật tự nhất định, trong một bản nhạc, hợp âm như là một thứ gia vị làm cho âm thanh trở nên sống động hơn.Sách “1000 HỢP ÂM CHO ĐÀN GUITARE” nói về các hợp âm (gam) đối với đàn guitare cũng quan trọng như các nốt nhạc của một giai điệu. Không thể chơi guitare mà không biết hợp âm.Sách giới thiệu 100 thế bấm các hợp âm thường dùng nhất. Mỗi hợp âm được ghi 4 thế bấm khác nhau trên cần đàn, trừ một số hợp âm trưởng và hợp âm 7 được cho 8 thế bấm.“Việc luyện tập nghiêm túc chính là chìa khóa của mọi thành công. Hãy tập đàn 15 phút mỗi ngày để chinh phục từng hợp âm, sau đó bạn có thể chuyển gam và bắt đầu tạo cho mình một bản nhạc yêu thích rồi nhé!Mời bạn đón đọc! ",73.000,,,,,,,,,,,,, 350.00 gam , 19 x 27 cm , 8935074118691 , 30/12/2020 , Tiếng Việt , Thiên Kim , Văn Lang , Nxb Văn Hóa , 104 , Patrick Moulou , Bìa mềm 
214,Học Đệm Piano Cơ Bản - Phần 3 (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/357550_p91118mtibanhocdem.jpg,Âm nhạc,,"  Thông tin tác giả    Song Minh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ở Việt Nam hiện nay, piano ngày càng phổ biến và là một trong những nhạc cụ được nhiều người theo học. Song song với việc chơi các tác phẩm cổ điển thì việc tự đệm đàn hát dần trở thành nhu cầu phát sinh một cách tự nhiên của nhiều người chơi nhạc. Nhằm cung cấp cho độc giả bộ tài liệu tham khảo đáng tin cậy, chúng tôi xin giới thiệu bộ sách Học đệm piano cơ bản (gồm 3 phần).Đây là bộ sách có phương pháp trình bày khá cụ thể và dễ học, với lượng kiến thức cơ bản có thể giải quyết được đòi hỏi cấp thiết của người học đệm piano. Học viên có thể luyện tập từ bất kỳ phần nào vì các bài tập trong mỗi cuốn sách đều khởi đầu từ trình độ cơ bản và được sắp xếp từ dễ đến khó.Mời bạn đón đọc. ",145.000,,,,,,,,,,,,, 572.00 gam , 20.5 x 29.5 cm , 8935095629534 , 10/04/2020 , Tiếng Việt ,, Huy Hoàng , NXB Dân Trí , 184 , Song Minh , Bìa mềm 
215,Phương Pháp Học Ghi-ta (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/354620_p90751mtibn.jpg,Âm nhạc,,"  Thông tin tác giả    Tạ Tấn      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Cây đàn Ghi-ta đã có từ lâu đời, trải qua nhiều thế kỷ được nghiên cứu cải tiến và hoàn chỉnh.Các phương pháp tập luyện Ghi-ta đã có sự thông nhất ở nhiều nước trên thế giới.Để phục vụ các bạn ham thích học ghita ở nước ta, sau nhiều năm làm công tác giảng dạy và biểu diễn, tác giả đã biên soạn cuốn: Phương Pháp Học Ghi-ta nhằm cung cấp tài liệu cho các bạn cần học tập và cũng có thể dùng làm tài liệu hướng dẫn.""Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 550.00 gam , 19 x 27 cm , 8935095629251 , 18/01/2020 , Tiếng Việt ,, Huy Hoàng , NXB Dân Trí , 260 , Tạ Tấn , Bìa mềm 
216,Đêm Gành Hào Nghe Điệu Hoài Lang,https://www.vinabook.com/images/thumbnails/product/240x/351733_p90395mdemganh.jpg,Âm nhạc,,"  Thông tin tác giả    Vũ Đức Sao Biển 
                                                                                                                                            Vũ Đức Sao Biển
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đêm Gành Hào nghe điệu hoài lang là tuyển tập 100 bài tình ca của nhạc sĩ Vũ Đức Sao Biển. Tuyển tập tình ca Vũ Đức Sao Biển ca ngợi tình yêu với quê hương, đất nước, tình yêu lứa đôi. Trong đó có nhiều bài hát là những tác phẩm bất hủ qua năm tháng như: Thu hát Cho Người, Đêm Gành Hào Nghe Điệu Hoài Lang, Điệu Buồn Phương Nam",60.000,,,,,,,,,,,,, 308.00 gam , 20 x 28 cm , 8934974165095 , 18/11/2019 , Tiếng Việt ,, NXB Trẻ , Nxb Trẻ , 130 , Vũ Đức Sao Biển , Bìa mềm 
217,"Rock Hà Nội, Bolero Sài Gòn",https://www.vinabook.com/images/thumbnails/product/240x/351249_p90320mscan0001.jpg,Âm nhạc,,"  Thông tin tác giả    Nguyễn Trương Quý 
                                                                                                                                            Nguyễn Trương Quý
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nhạc Tiền chiến, nhạc Vàng, nhạc Đỏ, nhạc Rock hay Bolero - Mỗi dòng đều có quá trình du nhập, tiếp biến và phát triển riêng ở Việt Nam. Mỗi hiện tượng âm nhạc từ đáp ứng nhu cầu đại chúng đến trung lưu trí thức đều khởi sinh và phát triển gắn với những khúc quanh của thời cuộc, phóng chiếu những đặc thù bối cảnh.Từ việc khảo cứu và phục dựng lại đời sống của các thể loại âm nhạc, các nhạc sĩ và bài hát làm nên diện mạo của tân nhạc Việt Nam, tác giả Jason Gibbs với cái nhìn khá mới mẻ và phi truyền thống của mình, đã tìm thấy mạch ngầm của văn hóa Việt Nam, dẫu lịch sử các giai đoạn được đề cập trong cuốn sách này đầy những thằng trầm, biến cố.Rock Hà Nội, Bolero Sài Gòn - Câu chuyện tân nhạc Việt Nam hé mở những hiện tượng và cột mốc của âm nhạc dưới góc nhìn độc đáo, tỉ mỉ và mê say của một nhà nghiên cứu độc lập người Mỹ.Mời bạn đón đọc. ",218.000,,,,,,,,,,,,, 440.00 gam , 14 x 20.5 cm , 8936144200636 , 07/11/2019 , Tiếng Việt , Jason Gibbs , Phanbook , Nxb Đà Nẵng , 420 , Nguyễn Trương Quý , Bìa mềm 
218,Lam Phương - Trăm Nhớ Ngàn Thương,https://www.vinabook.com/images/thumbnails/product/240x/351240_p90244mscan0014.jpg,Âm nhạc,,"  Thông tin tác giả    Nguyễn Thanh Nhã     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Quyển sách này chắc chắn sẽ là một món quà tinh thần không thể thiếu đối với những ai yêu mến Lam Phương và yêu nhạc của ông.Quyển sách được ra mắt cùng chuỗi liveshow TRĂM NHỚ NGÀN THƯƠNG kỷ niệm 70 năm âm nhạc Lam Phương. Liveshow tại Hà Nội vào tháng 11, Sài Gòn vào tháng 12 và Kiên Giang tháng 1/2020.Dấu chân trên hành trình đời sống và tình cảm đầy đa đoan đã để lại trong những ca khúc Lam Phương những bộc bạch chân tình và tha thiết. Khán giả đại chúng Sài Gòn từng yêu nhạc Lam Phương có lẽ vì tìm thấy một phần bóng dáng, tâm tư, những bể dâu của cuộc đời mình trong đó. Và có khi vì thấy cả những kỷ niệm của mình đã được người nhạc sĩ tài hoa và từng trải này chạm vào một cách bặt thiệp, đầy tinh tế.Lam Phương tên thật là Lâm Đình Phùng; sinh năm 1937, tại Rạch Giá, Kiên Giang. Ông là một trong những nhạc sĩ tiêu biểu của tân nhạc miền Nam Việt Nam với gần 160 tác phẩm đã phổ biến. Tiêu biểu có thể kể đến những ca khúc đi vào lòng người của ông như: Duyên kiếp, Chuyến đò vỹ tuyến, Kiếp nghèo, Thành phố buồn, Lầm, Say,",198.000,,,,,,,,,,,,, 374.00 gam , 14 x 20.5 cm , 8936144200711 , 07/11/2019 , Tiếng Việt ,, Phanbook , NXB Phụ Nữ , 260 , Nguyễn Thanh Nhã , Bìa mềm 
219,Phương Pháp Hồng - Năm Thứ Hai Với Đàn Piano - Tập 2 (Tái Bản 2019),https://www.vinabook.com/images/thumbnails/product/240x/345164_p88387mphuongphap.jpg,Âm nhạc,,"  Thông tin tác giả    Ernest Van De Velde     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     File Audio đánh mẫu tặng kèm trên websiteMéthode Rose là giáo trình dạy piano nổi tiếng của Pháp có từ thế kỷ XIX. Méthode Rose đã được biên soạn ra tiếng Anh, Tây Ban Nha, Bồ Đào Nha, Nhật và nhiều ngôn ngữ khác. Ngoài ra, Méthode Rose cũng đã được in thành sách chữ nổi Braille dành cho người khiếm thị. Đặc biệt File Audio tặng kèm giúp người học có thể nghe trước âm thanh của tất cả các tiểu phẩm trong sách.Với thiết kế gáy xoắn, khổ ngang cùng nốt nhạc to, cuốn sách rất thuận tiện khi đặt trên giá nhạc để thị tấu.Mời bạn đón đọc. ",120.000,,,,,,,,,,,,, 572.00 gam , 29.5 x 20.5 cm , 8935095628360 , 08/2019 , Tiếng Việt , Trịnh Minh Thanh , Huy Hoàng , NXB Dân Trí , 152 , Ernest Van De Velde , Bìa mềm 
220,Phương Pháp Học Guitare,https://www.vinabook.com/images/thumbnails/product/240x/344430_p88318mphuongphap.jpg,Âm nhạc,,"  Thông tin tác giả    F. Carulli     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đây là bản dịch từ cuốn sách đã được tác giả F. Carulli chỉnh sửa tái bản lần cuối cùng, với phần nhạc lý cơ bản được tóm tắt ngắn gọn; các bài tập đọc nốt nhạc, rải hợp âm, chạy gam, thế tay, chồng quãng, nốt luyến, nốt hoa mỹ, âm bồi,… xen kẽ với 56 tiểu phẩm và sáu khúc chuyên luyện được sắp xếp theo trình độ kỹ thuật nâng cao dần.Nhằm hỗ trợ thêm người học, chúng tôi có kèm link download bản thu âm minh họa các bài tập chạy gam cùng 40 tiểu phẩm tiêu biểu.Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 440.00 gam , 20.5 x 29.5 cm , 8935095627905 , 08/2019 , Tiếng Việt , Trịnh Minh Thanh , Huy Hoàng , NXB Dân Trí , 160 , F. Carulli , Bìa mềm 
221,40 Nhạc Phẩm Nổi Tiếng Soạn Cho Guitar Cổ Điển,https://www.vinabook.com/images/thumbnails/product/240x/339979_p87797mscan0001.jpg,Âm nhạc,,"  Thông tin tác giả    Trần Thế Kỷ     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong tuyển tập này các bạn sẽ tìm thấy nhiều nhạc phẩm Việt Nam cũng như ngoại quốc được yêu mến qua nhiều thế hệ như: Biệt Ly, Con Thuyền Không bến, Besame Mucho, Love Story",24.000,,,,,,,,,,,,, 220.00 gam , 21 x 29 cm , 9999900038507 , 07/2007 , Tiếng Việt ,, Nhà sách Hoa Sen , Nxb Văn Nghệ TP.HCM , 96 , Trần Thế Kỷ , Bìa mềm 
222,Lắng Nghe Giai Điệu Boléro,https://www.vinabook.com/images/thumbnails/product/240x/344202_p88280mnxbtrefull02522019035223.jpg,Âm nhạc,,"  Thông tin tác giả    Vũ Đức Sao Biển 
                                                                                                                                            Vũ Đức Sao Biển
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Dòng nhạc Boléro đang chứng nghiệm một sự khởi sắc mạnh mẽ trong những năm gần đây ở cả hai miền Nam và Bắc. Tuy nhiên sự hiểu biết về dòng nhạc này, những người khai phá và phát triển nó, lịch sử của nó, cái chất và cái hồn của nó… vẫn còn khá mỏng, thậm chí đôi khi dẫn đến những  ngộ nhận về Boléro, xem nó là dòng “nhạc sến” (không sang), hay ngược lại, xem nó là một thứ khuôn sáo mang tính thủ cựu. Tác giả Vũ Đức Sao Biển là một trong những người hiếm hoi nghiên cứu về Boléro với đầy đủ tư cách, kiến thức, kỹ năng, bề dày sáng tác, nhưng ông đã viết cuốn sách này trên hết với tất cả sự đam mê và tình yêu dành cho Boléro mà chúng ta (người đọc) có thể dễ dàng nhận thấy.Không chỉ dựng lại hành trình phát triển của Boléro (du nhập từ nước ngoài rồi khoác vào tâm hồn Việt nhờ cảnh quan miền Nam thông qua các nhạc sĩ đầu tiên từ miền Bắc đi vào), tác giả còn chỉ ra nguyên do sự thành công của Boléro, vạch ra cả những điểm yếu kém cố hữu của nó, giải thích luôn vì sao đôi khi sự yếu kém lại chính là thành công. Vũ Đức Sao Biển kêu gọi việc hiểu Boléro theo đúng bản chất của nó, gạt bỏ những gán ghép. Ông cũng kêu gọi sự tươi mới trong Boléro để hướng đến tương lai: Hãy nghĩ và viết những bài Boléro mới, nội dung mới, giai điệu mới. Người ca sĩ cũng vậy, cũng nên đi tìm cho tiếng hát của mình những ca khúc mới. Chỉ có làm cho Boléro mới lên thì mới có thể góp phần duy trì dòng nhạc này và hấp dẫn quần chúng yêu nhạc…Mời bạn đón đọc. ",75.000,,,,,,,,,,,,, 264.00 gam , 13 x 20 cm , 8934974163282 , 06/2019 , Tiếng Việt ,, NXB Trẻ , Nxb Trẻ , 234 , Vũ Đức Sao Biển , Bìa mềm 
223,Tuyển Tập Tác Phẩm Piano Cổ Điển - Lãng Mạn Được Yêu Thích - Tập 2,https://www.vinabook.com/images/thumbnails/product/240x/339464_p87747mscan0001.jpg,Âm nhạc,,"  Thông tin tác giả    Cù Minh Nhật 
                                                                                                                                            Cù Minh Nhật
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Đặng Thái Sơn     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - Kèm file Audio âm thanh tất cả các tác phẩm trong sách- Có thể luyện tập trên đàn OrganBộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm nhạc cổ điển và lãng mạn, hoàn toàn không trùng lặp với các ấn phẩm đã phát hành như: “Piano cho thiếu nhi – Tuyển tập 220 tiểu phẩm nổi tiếng” (2011), “Tuyển tập tiểu phẩm piano măng non” (2017) và “Những nhạc khúc hay và dễ soạn cho đàn piano” (2018). Đặc biệt, để hỗ trợ thiết thực cho học viên, tất cả các tác phẩm trong bộ sách đều được minh họa qua file Audio âm thanh sinh động. Ngoài ra, chất lượng in cao cấp, thiết kế thoáng đẹp với gáy xoắn, thuận tiện khi đặt trên giá nhạc để thị tấu cũng là những ưu điểm của bộ sách này.Mời bạn đón đọc. ",120.000,,,,,,,,,,,,, 572.00 gam , 20.5 x 29.5 cm , 8935095627783 , 06/2019 , Tiếng Việt ,, Huy Hoàng , NXB Dân Trí , 152 ," Cù Minh Nhật , Đặng Thái Sơn ", Bìa mềm 
224,Tuyển Tập Tác Phẩm Piano Cổ Điển - Lãng Mạn Được Yêu Thích - Tập 1,https://www.vinabook.com/images/thumbnails/product/240x/339455_p87746mscan0001.jpg,Âm nhạc,,"  Thông tin tác giả    Đặng Thái Sơn     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Cù Minh Nhật 
                                                                                                                                            Cù Minh Nhật
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     - Kèm file Audio âm thanh tất cả các tác phẩm trong sách- Có thể luyện tập trên đàn OrganBộ sách giới thiệu các tác phẩm piano được nhiều người yêu thích của những nhạc sĩ thiên tài thuộc hai thời kỳ âm nhạc cổ điển và lãng mạn, hoàn toàn không trùng lặp với các ấn phẩm đã phát hành như: “Piano cho thiếu nhi – Tuyển tập 220 tiểu phẩm nổi tiếng” (2011), “Tuyển tập tiểu phẩm piano măng non” (2017) và “Những nhạc khúc hay và dễ soạn cho đàn piano” (2018). Đặc biệt, để hỗ trợ thiết thực cho học viên, tất cả các tác phẩm trong bộ sách đều được minh họa qua file Audio âm thanh sinh động. Ngoài ra, chất lượng in cao cấp, thiết kế thoáng đẹp với gáy xoắn, thuận tiện khi đặt trên giá nhạc để thị tấu cũng là những ưu điểm của bộ sách này.Mời bạn đón đọc. ",120.000,,,,,,,,,,,,, 572.00 gam , 20.5 x 29.5 cm , 8935095627776 , 06/2019 , Tiếng Việt ,, Huy Hoàng , NXB Dân Trí , 152 ," Đặng Thái Sơn , Cù Minh Nhật ", Bìa mềm 
225,Những Lời Bình Yên,https://www.vinabook.com/images/thumbnails/product/240x/337479_p87488mscan0001.jpg,Âm nhạc,,"  Thông tin tác giả    Quốc Bảo 
                                                                                                                                            Quốc Bảo
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Những lời bình yên là tuyển tập 100 bài ca từ đã tạo nên tên tuổi của nhạc sĩ Quốc Bảo từ thập niên 1990 đến nay với những bài hát như Em về tinh khôi, Tóc nâu môi trầm, Tình ca phố",139.000,,,,,,,,,,,,, 308.00 gam , 12 x 20 cm , 8936144200476 , 27/05/2019 , Tiếng Việt ,, Phanbook , NXB Văn hóa - Văn nghệ , 212 , Quốc Bảo , Bìa mềm 
226,Phương Pháp Hồng - Năm Thứ Nhất Với Đàn Piano - Tập 1 (Tái Bản 2019),https://www.vinabook.com/images/thumbnails/product/240x/338997_p87674mscan0001.jpg,Âm nhạc,,"  Thông tin tác giả    Ernest Van De Velde     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     File Audio đánh mẫu tặng kèm trên websiteMéthode Rose là giáo trình dạy piano nổi tiếng của Pháp có từ thế kỷ XIX. Méthode Rose đã được biên soạn ra tiếng Anh, Tây Ban Nha, Bồ Đào Nha, Nhật và nhiều ngôn ngữ khác. Ngoài ra, Méthode Rose cũng đã được in thành sách chữ nổi Braille dành cho người khiếm thị. Đặc biệt File Audio tặng kèm giúp người học có thể nghe trước âm thanh của tất cả các tiểu phẩm trong sách.Với thiết kế gáy xoắn, khổ ngang cùng nốt nhạc to, cuốn sách rất thuận tiện khi đặt trên giá nhạc để thị tấu.Mời bạn đón đọc. ",85.000,,,,,,,,,,,,, 462.00 gam , 29.5 x 20.5 cm , 8935095627592 , 06/2019 , Tiếng Việt ," Hà Vân , Lê Dũng ", Huy Hoàng , NXB Dân Trí , 124 , Ernest Van De Velde , Bìa mềm 
227,Most Favourite English Song Book 1997 - Volume 2,https://www.vinabook.com/images/thumbnails/product/240x/284965_p78755msongbook2.jpg,Âm nhạc,,"  Thông tin tác giả    Nguyễn Vǎn Phước 
                                                                                                                                            Nguyễn Vǎn Phước
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Phạm Văn Bằng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     TUYỂN TẬP NHỮNG CA KHÚC TIẾNG ANH ĐƯỢC YÊU THÍCH NHẤT MỌI THỜI ĐẠIMÓN QUÀ TINH THẦN NGƯỢC DÒNG THỜI GIAN:Bất cứ ai yêu thích nhạc tiếng Anh ở thập niên 90 thế kỷ trước không ai là không ghi nhớ dấu ấn của hai tập sách lời bài hát tiếng Anh nghe băng cattsete ghi ra lời kèm hợp âm Guitar và Piano trong suốt 2 năm (1994-1996) và xuất bản vào đầu năm 1997 kèm 6 cuộn băng cattsetes vào lúc ở Việt Nam chưa có Internet lẫn Google. Tên hai tập sách lúc đó là All Time Most Favourite English Song Book 1997 – (Tuyển tập 600 ca khúc tiếng Anh yêu thích nhất mọi thời đại) - đã ngay lập tức trở thành một hiện tượng xuất bản khi khi được bạn đọc cả nước đón nhận nồng nhiệt. Gần 600.000 bản in đã đến tay bạn đọc chỉ trong vòng ba tháng, truyền nguồn cảm hứng học và hát tiếng Anh cho các bạn trẻ khắp cả nước. Từ khởi nguồn này, các chương trình nhạc tiếng Anh như “Những ca khúc Bất hủ”, “Bài hát tiếng Anh yêu thích”, “Unplugged English Songs SV97”…đã lan toả trên nhiều phương tiện truyền thông, càng làm bùng lên ngọn lửa đam mê hát và học tiếng Anh qua các ca khúc tiếng Anh. Hai tuyển tập nhạc này đã trở thành biểu tượng thời thượng lúc bấy giờ khi xuất hiện trên tủ sách của mọi gia đình, trường học, đi vào tiếng đàn lời ca khắp các ký túc xá sinh viên… và là quà tặng tinh tế thay lời muốn nói các bạn trẻ riêng dành cho nhau. Đối với các bạn trẻ thời đó, việc sở hữu được hai tập sách nhạc “toàn những bài hay đang được tìm kiếm” được thiết kế công phu và rất “chất” lúc bấy giờ dường như là một niềm hạnh phúc trọn vẹn trong lúc cuộc sống còn nhiều khó khăn. Các bạn trẻ thế hệ 7x, 8x đã từng giữ hai tập sách đó và yêu thích nhạc tiếng Anh lúc ấy –giờ đây – sau 20 năm – đều đã trưởng thành – đều nhớ về hai tập sách nhạc huyền thoại như nhân chứng thân thương, gần gũi của thời gian với bao ký ức, kỷ niệm không phai và tình yêu cuộc sống của riêng mình – mà cho dù cuộc sống hiện nay nhiều áp lực hơn. Một bạn đọc thế hệ 7x anh Hoàng Mạnh Thắng, đang làm ở Eurst&Young chia sẻ khá sâu sắc: “Tập sách bài hát mà tôi yêu thích cả một thời sinh viên này làm tôi nhớ lại nhiều kỷ niệm. Tôi đã được người bạn gái sinh viên năm thứ 3 tặng nhân dịp sinh nhật - Có một sự thật mà tôi cần chiêm nghiệm, 20 năm trước, chúng ta có rất ít phương tiện hiện đại hay tài sản, không có smart phone, máy tính bảng… nhưng chúng ta nghe và cảm nhận một bài hát tiếng Anh nào đó thật trọn vẹn với với tất cả rung động, cảm xúc như vốn có. Còn bây giờ, nghe lại đúng bài hát đó, tôi không còn cảm nhận trọn vẹn được như hồi xưa nữa –  Điều gì đã xảy ra ? Thời gian 20 năm trôi qua và cảm nhận cuộc sống của chúng ta lại giảm đi rất nhiều. Tôi sẽ giữ gìn tập sách nhạc một thời này để tự nhắc nhở mình”. Theo yêu cầu của đông đảo bạn đọc muốn có được hai tập sách bài hát đã gắn bó ký ức, kỷ niệm một thời, nhân dịp kỷ niệm 20 năm bộ sách ra đời 1997-2017, chúng tôi đã xuất bản ấn bản kỷ niệm đặc biệt có chỉnh sửa – Limited Edition - All Time Most Favourite English Song Book 1997 – NXB Tổng Hợp TP.HCM ấn hành. Đây sẽ là món quà đặc biệt dành cho các bạn yêu nhạc nhân dịp năm mới.Mời bạn đón đọc. ",97.000,,,,,,,,,,,,, 286.00 gam , 20.5 x 14.5 cm , 8935086844687 , 12/2017 , Tiếng Anh ,, Trí Việt , Nxb Tổng hợp TP.HCM , 248 ," Nguyễn Vǎn Phước , Phạm Văn Bằng ", Bìa mềm 
